player_name,placement,has_killacure24,has_Chieffelix47,has_Rook,has_MarkMadness,has_socom1880,has_Arturias13,has_clayschubiner,kills,kdRatio,score,timePlayed,headshots,executions,assists,percentTimeMoving,longestStreak,scorePerMinute,damageDone,distanceTraveled,deaths,damageTaken,damageDonePerMinute,medalXp,objectiveTeamWiped,objectiveLastStandKill,matchXp,scoreXp,totalXp,challengeXp,objectiveDestroyedVehicleMedium,teamSurvivalTime,objectiveBrDownEnemyCircle3,objectiveBrDownEnemyCircle1,objectiveBrMissionPickupTablet,bonusXp,objectiveReviver,objectiveBrKioskBuy,objectiveBrDownEnemyCircle6,gulagDeaths,gulagKills,objectiveBrCacheOpen,miscXp,match_id,match_modeId,match_mapId,match_duration,match_playerCount,match_teamCount,match_mapName
Arturias13,4,False,True,False,False,False,True,True,6.0,2.0,3675.0,1599.0,1.0,0.0,0.0,47.144753,4.0,137.8986866791745,1773.0,343239.78,3.0,720.0,66.52908067542214,,,,,,,,,,,,,,,,,,,,,257841491263855296,br_25,mp_donetsk2,1568.0,153,51,Verdansk
clayschubiner,4,False,True,False,False,False,True,True,6.0,2.0,2500.0,1599.0,3.0,0.0,0.0,65.405045,5.0,93.80863039399625,1500.0,370182.84,3.0,889.0,56.285178236397755,330.0,1.0,4.0,12689.0,3125.0,16820.0,0.0,,1469952.0,,4.0,2.0,0.0,,,,1.0,1.0,1.0,0.0,257841491263855296,br_25,mp_donetsk2,1568.0,153,51,Verdansk
Chieffelix47,6,True,True,False,False,True,False,True,3.0,3.0,7925.0,1565.0,0.0,0.0,0.0,78.80435,3.0,303.83386581469654,1567.0,540111.4,1.0,256.0,60.07667731629393,,,,,,,,,,,,,,,,,,,,,10947628477400197041,br_89,mp_donetsk2,1590.0,153,39,Verdansk
clayschubiner,6,True,True,False,False,True,False,True,0.0,0.0,5200.0,1567.0,0.0,0.0,0.0,74.38859,0.0,199.10657306955966,552.0,498137.38,1.0,444.0,21.135928525845564,10.0,,,12099.0,12080.0,24189.0,0.0,,1455648.0,,,6.0,0.0,,5.0,,0.0,0.0,3.0,0.0,10947628477400197041,br_89,mp_donetsk2,1590.0,153,39,Verdansk
killacure24,6,True,True,False,False,True,False,True,0.0,0.0,2725.0,1566.0,0.0,0.0,0.0,84.23913,0.0,104.40613026819923,151.0,577768.44,1.0,323.0,5.78544061302682,40.0,,,12099.0,9905.0,22049.0,0.0,,1455648.0,,,6.0,0.0,,2.0,,0.0,0.0,2.0,0.0,10947628477400197041,br_89,mp_donetsk2,1590.0,153,39,Verdansk
socom1880,6,True,True,False,False,True,False,True,1.0,1.0,4150.0,1566.0,1.0,0.0,0.0,81.86141,1.0,159.00383141762453,256.0,563225.9,1.0,310.0,9.808429118773946,20.0,1.0,,12099.0,11130.0,23367.0,0.0,,1455648.0,,,6.0,0.0,,3.0,,0.0,0.0,5.0,0.0,10947628477400197041,br_89,mp_donetsk2,1590.0,153,39,Verdansk
Chieffelix47,15,True,True,False,False,True,False,True,1.0,0.5,7125.0,1111.0,0.0,0.0,0.0,92.37536,1.0,384.7884788478848,999.0,523296.7,2.0,397.0,53.951395139513956,,,,,,,,,,,,,,,,,,,,,15836072830799025236,br_89,mp_donetsk2,1454.0,153,39,Verdansk
clayschubiner,15,True,True,False,False,True,False,True,1.0,0.5,2050.0,1113.0,0.0,0.0,0.0,87.97654,1.0,110.5121293800539,287.0,677179.7,2.0,605.0,15.471698113207546,10.0,,,8639.0,5350.0,14049.0,0.0,,1004688.0,,,4.0,0.0,,1.0,,0.0,1.0,4.0,0.0,15836072830799025236,br_89,mp_donetsk2,1454.0,153,39,Verdansk
killacure24,15,True,True,False,False,True,False,True,1.0,0.3333333333333333,1425.0,1113.0,0.0,0.0,0.0,86.999016,1.0,76.81940700808626,1163.0,512078.5,3.0,775.0,62.69541778975741,10.0,,1.0,8639.0,4725.0,13495.0,0.0,,1004688.0,,1.0,4.0,0.0,,,,2.0,0.0,6.0,0.0,15836072830799025236,br_89,mp_donetsk2,1454.0,153,39,Verdansk
socom1880,15,True,True,False,False,True,False,True,0.0,0.0,4000.0,1113.0,0.0,0.0,0.0,90.90909,0.0,215.63342318059298,539.0,480215.94,3.0,668.0,29.056603773584904,0.0,,,8639.0,7200.0,15861.0,0.0,,1004688.0,,1.0,4.0,0.0,1.0,3.0,,2.0,0.0,12.0,0.0,15836072830799025236,br_89,mp_donetsk2,1454.0,153,39,Verdansk
Chieffelix47,20,True,True,False,False,False,False,True,3.0,1.0,900.0,1275.0,0.0,0.0,0.0,74.78992,2.0,42.352941176470594,959.0,453148.66,3.0,635.0,45.129411764705885,,,,,,,,,,,,,,,,,,,,,11439464473096463873,br_dmz_76,mp_donetsk2,1209.0,100,37,Verdansk
clayschubiner,20,True,True,False,False,False,False,True,0.0,0.0,500.0,1276.0,0.0,0.0,0.0,89.91597,0.0,23.510971786833856,67.0,649490.2,6.0,1250.0,3.150470219435737,250.0,,,12437.0,1300.0,13987.0,0.0,,,,,,0.0,,,,,,5.0,0.0,11439464473096463873,br_dmz_76,mp_donetsk2,1209.0,100,37,Verdansk
killacure24,20,True,True,False,False,False,False,True,1.0,0.5,0.0,1275.0,0.0,0.0,0.0,71.84874,0.0,0.0,499.0,545017.9,2.0,206.0,23.48235294117647,250.0,,,12437.0,0.0,12687.0,0.0,,,,,,0.0,,,,,,,0.0,11439464473096463873,br_dmz_76,mp_donetsk2,1209.0,100,37,Verdansk
Chieffelix47,1,False,True,True,False,True,False,True,8.0,8.0,6525.0,1662.0,4.0,0.0,0.0,95.36602,7.0,235.5595667870036,3928.0,430470.9,0.0,0.0,141.80505415162455,,,,,,,,,,,,,,,,,,,,,2015729780656531273,br_89,mp_donetsk2,1559.0,151,39,Verdansk
clayschubiner,1,False,True,True,False,True,False,True,4.0,2.0,4850.0,1663.0,1.0,0.0,0.0,86.63533,2.0,174.98496692723992,1700.0,432960.44,2.0,387.0,61.33493686109441,70.0,2.0,1.0,13237.0,8150.0,22133.0,0.0,,1559000.0,1.0,,4.0,0.0,,1.0,1.0,2.0,0.0,,0.0,2015729780656531273,br_89,mp_donetsk2,1559.0,151,39,Verdansk
Rook,1,False,True,True,False,True,False,True,3.0,3.0,8750.0,1663.0,0.0,0.0,0.0,96.373405,4.0,315.69452796151535,874.0,367838.12,0.0,0.0,31.53337342152736,,,,,,,,,,,,,,,,,,,,,2015729780656531273,br_89,mp_donetsk2,1559.0,151,39,Verdansk
socom1880,1,False,True,True,False,True,False,True,6.0,3.0,4450.0,1661.0,3.0,0.0,0.0,85.627945,6.0,160.74653822998195,1648.0,414051.1,2.0,346.0,59.530403371462974,365.0,4.0,2.0,13237.0,7750.0,23691.0,0.0,1.0,1559000.0,1.0,3.0,4.0,0.0,,,1.0,2.0,0.0,3.0,0.0,2015729780656531273,br_89,mp_donetsk2,1559.0,151,39,Verdansk
Chieffelix47,40,False,True,True,False,True,False,True,0.0,0.0,0.0,136.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,234120.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,7244888042715934775,br_89,mp_donetsk2,1652.0,149,41,Verdansk
clayschubiner,40,False,True,True,False,True,False,True,0.0,0.0,0.0,137.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,205336.95,1.0,1200.0,0.0,0.0,,,586.0,0.0,586.0,0.0,,54432.0,,,,0.0,,,,0.0,0.0,,0.0,7244888042715934775,br_89,mp_donetsk2,1652.0,149,41,Verdansk
Rook,40,False,True,True,False,True,False,True,0.0,0.0,0.0,138.0,0.0,0.0,0.0,100.0,0.0,0.0,56.0,124107.63,0.0,0.0,24.347826086956523,,,,,,,,,,,,,,,,,,,,,7244888042715934775,br_89,mp_donetsk2,1652.0,149,41,Verdansk
socom1880,40,False,True,True,False,True,False,True,0.0,0.0,0.0,137.0,0.0,0.0,0.0,91.83673,0.0,0.0,0.0,233454.42,0.0,0.0,0.0,0.0,,,586.0,0.0,586.0,0.0,,54432.0,,,,0.0,,,,0.0,0.0,,0.0,7244888042715934775,br_89,mp_donetsk2,1652.0,149,41,Verdansk
Chieffelix47,4,False,True,False,False,True,False,True,1.0,0.3333333333333333,4900.0,1523.0,0.0,0.0,0.0,70.62937,0.0,193.04005252790543,705.0,465613.03,3.0,444.0,27.77413000656599,,,,,,,,,,,,,,,,,,,,,2157259838962418130,br_25,mp_donetsk2,1579.0,152,53,Verdansk
clayschubiner,4,False,True,False,False,True,False,True,0.0,0.0,3400.0,1524.0,0.0,0.0,0.0,76.92308,1.0,133.85826771653544,350.0,507980.12,3.0,537.0,13.779527559055119,10.0,,1.0,12802.0,8890.0,21762.0,0.0,,1424688.0,,,7.0,0.0,,2.0,,2.0,0.0,6.0,0.0,2157259838962418130,br_25,mp_donetsk2,1579.0,152,53,Verdansk
socom1880,4,False,True,False,False,True,False,True,2.0,1.0,4175.0,1523.0,1.0,0.0,0.0,91.60839,2.0,164.4780039395929,1463.0,515606.7,2.0,228.0,57.63624425476034,40.0,,1.0,12802.0,9790.0,23082.0,0.0,,1424688.0,,,7.0,0.0,,2.0,,0.0,1.0,5.0,0.0,2157259838962418130,br_25,mp_donetsk2,1579.0,152,53,Verdansk
Chieffelix47,6,False,True,False,False,True,False,True,3.0,1.5,3100.0,1555.0,0.0,0.0,0.0,65.83507,1.0,119.61414790996785,1170.0,511587.3,2.0,503.0,45.144694533762056,,,,,,,,,,,,,,,,,,,,,7543913256965420782,br_25,mp_donetsk2,1587.0,151,51,Verdansk
clayschubiner,6,False,True,False,False,True,False,True,1.0,0.25,1500.0,1555.0,0.0,0.0,0.0,54.40055,2.0,57.87781350482315,944.0,565392.5,4.0,792.0,36.42443729903537,30.0,,2.0,11833.0,4360.0,16348.0,0.0,,1436448.0,,1.0,5.0,0.0,,,,3.0,0.0,2.0,0.0,7543913256965420782,br_25,mp_donetsk2,1587.0,151,51,Verdansk
